FID,id,fromnode,tonode,leftpolygo,rightpolyg,shape_leng,shape_le_1,the_geom
hti_boundaries_sections_communales_adm3_cnigs_line.41,319,39,64,77,16,0.08797392,0.08797392,"MULTILINESTRING ((-71.91946145499992 18.184477232000063, -71.91881300099993 18.186443883000038, -71.91840412499994 18.18982279700009, -71.91685032899994 18.19277704800004, -71.91583714199993 18.194530218000068, -71.91573766699992 18.19642453000006, -71.91573650399994 18.19863633300008, -71.91614535499991 18.200096364000046, -71.91762645299991 18.20235005300009, -71.91895582599994 18.204104777000055, -71.91899531299993 18.20615476800009, -71.9171928479999 18.208202223000058, -71.91615728699992 18.210144657000058, -71.91386942699995 18.212391856000067, -71.91154153899993 18.21369046700005, -71.90941128599991 18.216102695000075, -71.90843617299993 18.21728768400004, -71.9059747419999 18.218123647000084, -71.90437218999995 18.219533150000075, -71.90287781199993 18.221233305000055, -71.90170113999994 18.223128216000077, -71.8991949199999 18.22541678500005, -71.89827929699993 18.227505436000058, -71.89601222899995 18.22961730600008, -71.8940299269999 18.23218514200005, -71.89260811999992 18.23032044300004, -71.89129320099994 18.228294920000053, -71.88919517199992 18.22886575800004, -71.88647761099992 18.228686115000073, -71.88454680199993 18.22782416000007, -71.88249440299995 18.22689703000009, -71.88142391199995 18.226003923000064, -71.88021338199991 18.225018274000035, -71.87825969799991 18.22491423300005, -71.8767390399999 18.225954656000056, -71.87566646399995 18.22676770700008, -71.87352681899995 18.226498120000088, -71.87153229599994 18.226564831000076, -71.8700898219999 18.22692945500006))"
hti_boundaries_sections_communales_adm3_cnigs_line.42,320,79,60,37,17,0.03151374,0.03151374,"MULTILINESTRING ((-72.88508113899991 18.23329510700006, -72.8835687799999 18.233278403000043, -72.8816360269999 18.233627424000076, -72.87992811599992 18.23414148100005, -72.8779689239999 18.235113528000056, -72.87696639199993 18.235147576000088, -72.87526471799993 18.234369877000063, -72.87346413299991 18.233175525000036, -72.8728987849999 18.232247851000068, -72.8721841329999 18.231155860000058, -72.87067886499995 18.229784135000045, -72.8683152179999 18.228258348000054, -72.86591872699995 18.22710246200006, -72.86390479599993 18.22636635200007, -72.86222434099994 18.22540815600007, -72.8601386009999 18.224364139000045, -72.85931176499992 18.22318054100009, -72.85948786199992 18.221917830000052))"
hti_boundaries_sections_communales_adm3_cnigs_line.43,321,60,49,33,17,0.05384426,0.05384426,"MULTILINESTRING ((-72.85948786199992 18.221917830000052, -72.86006787199995 18.22164433100005, -72.86179659499993 18.22173587700007, -72.86331274999992 18.22220445100004, -72.86496477999992 18.222385430000088, -72.86664496499992 18.22258486000004, -72.8680696529999 18.22280843900006, -72.86956167199992 18.222156517000087, -72.8709608659999 18.221368169000073, -72.8721007389999 18.220911097000055, -72.87375998099992 18.22128174100004, -72.87522060899994 18.221659292000083, -72.87585191699992 18.22104302300005, -72.8766844299999 18.219435236000038, -72.87734835399993 18.217690105000088, -72.87838420399993 18.216454945000066, -72.87964264599992 18.21557456100004, -72.8810528489999 18.214641656000083, -72.88250036999995 18.213754219000066, -72.88368376299991 18.213604716000077, -72.88528274299995 18.214263783000092, -72.88665873299993 18.213818253000056, -72.88859097699992 18.212710317000074, -72.88989526799992 18.211938743000076, -72.89120397599993 18.211582753000073, -72.89210433999995 18.212170859000082, -72.89257384699994 18.21164297100006, -72.8931981309999 18.210818740000036, -72.89227360799993 18.209887172000037, -72.89148047899994 18.209029298000075, -72.89074920599995 18.20774752500006, -72.89034966899993 18.20638811500004, -72.88974014699994 18.20519799400006, -72.88883913099994 18.205450087000088, -72.8871725059999 18.20648861600006, -72.88599943199995 18.206575128000054, -72.88532481099992 18.20607980400007, -72.88461296899993 18.20476210000004, -72.88419743199995 18.203944581000087))"
hti_boundaries_sections_communales_adm3_cnigs_line.44,322,24,82,21,17,0.09580871,0.09580871,"MULTILINESTRING ((-72.93031268399994 18.16722857500008, -72.92951299999993 18.16852994000004, -72.92904420299993 18.169816712000056, -72.92855284199993 18.17141032300009, -72.92815587899992 18.17301407100007, -72.92761959499995 18.17441752400009, -72.92703108199993 18.175432042000068, -72.92635015099995 18.17627386500004, -72.92564910399994 18.17721481600006, -72.92513794199994 18.17808556300008, -72.9253856919999 18.17951553800009, -72.92473171099994 18.179671135000092, -72.9249035549999 18.18032337300008, -72.92501799999991 18.181038304000083, -72.92519938099991 18.18168161300008, -72.92575201299991 18.18210313700007, -72.92617951699992 18.182713068000055, -72.92576723999991 18.183214487000043, -72.92523314199991 18.183624270000053, -72.92464628999994 18.18449419500007, -72.92392353799994 18.184874839000088, -72.92379992299993 18.18573170500008, -72.92345444999995 18.186974628000087, -72.92275075599991 18.187337410000055, -72.92167128799991 18.187506363000068, -72.92072914699992 18.188056222000057, -72.92018902199993 18.18897188400007, -72.9202055259999 18.189965741000037, -72.92025218799995 18.190815414000042, -72.91978131999991 18.192264700000067, -72.91897953199992 18.19292454100008, -72.91816520899994 18.193051186000048, -72.9165272379999 18.193295423000052, -72.91581835099993 18.19409173400004, -72.91559422099994 18.195453367000084, -72.91563583899995 18.19671853600005, -72.9158777209999 18.19863625800008, -72.91600860799991 18.200345045000063, -72.9145605949999 18.201295978000076, -72.9130844149999 18.202228440000056, -72.91173172399994 18.203903016000083, -72.91045699799992 18.206174614000076, -72.90930241799992 18.209459334000087, -72.90858128699995 18.212062179000043, -72.90844376899992 18.21487008400004, -72.90902250899995 18.21707164500009, -72.90914053099993 18.218265299000052, -72.90965328399994 18.219662137000057, -72.91074491599994 18.22165234600004, -72.91148212599995 18.223250326000084, -72.91192208299992 18.225197390000062, -72.91121799399991 18.225578082000084, -72.90967061499992 18.22612135500009, -72.90815224799991 18.226610651000044, -72.90710108299993 18.225975806000065, -72.90576205299993 18.224904287000072, -72.90413329199993 18.22435352000008, -72.90266324499993 18.224752985000066, -72.90111173899993 18.225639346000037, -72.89920886499993 18.226657316000058, -72.8976632529999 18.227841845000057, -72.89600802699994 18.229485860000068, -72.89367826999995 18.232188355000062, -72.89239338599992 18.233691898000075, -72.8910772779999 18.235429906000036))"
hti_boundaries_sections_communales_adm3_cnigs_line.45,323,82,79,37,17,0.00645155,0.00645155,"MULTILINESTRING ((-72.8910772779999 18.235429906000036, -72.89002188599994 18.235147244000075, -72.88918116299993 18.23509282300006, -72.8880825789999 18.23447550600008, -72.8869092999999 18.23377598400009, -72.88508113899991 18.23329510700006))"
hti_boundaries_sections_communales_adm3_cnigs_line.46,324,84,83,23,18,0.00051605,0.00051605,"MULTILINESTRING ((-72.65328701299995 18.23613745600005, -72.65378755099994 18.236011869000038))"
hti_boundaries_sections_communales_adm3_cnigs_line.47,325,83,84,59,18,0.0005161,0.0005161,"MULTILINESTRING ((-72.65378755099994 18.236011869000038, -72.65328700899994 18.23613749000009, -72.65328701299995 18.23613745600005))"
hti_boundaries_sections_communales_adm3_cnigs_line.48,326,98,96,59,19,0.00015705,0.00015705,"MULTILINESTRING ((-72.68240274399994 18.249035263000053, -72.68240240199992 18.248878216000037))"
hti_boundaries_sections_communales_adm3_cnigs_line.49,327,96,97,23,19,0.00104153,0.00104153,"MULTILINESTRING ((-72.68240240199992 18.248878216000037, -72.68343898199993 18.24897959100008))"
hti_boundaries_sections_communales_adm3_cnigs_line.51,329,59,53,24,20,0.06036164,0.06036164,"MULTILINESTRING ((-73.92711554599992 18.220114094000053, -73.92584491399992 18.217585589000066, -73.92406230199992 18.218370882000045, -73.9192492979999 18.215235045000043, -73.9167244109999 18.21371154700006, -73.91328466899995 18.21027603100009, -73.9108730769999 18.20879836900008, -73.90704870099995 18.207945193000057, -73.90598907999993 18.206511311000042, -73.89820292999991 18.207144490000076, -73.89457481399995 18.20517164800009, -73.89125498999994 18.20380588200004, -73.89035636099993 18.20087273200005, -73.88858270199995 18.200238856000055, -73.88536104799994 18.204277889000082, -73.88286301999995 18.20750763300009, -73.88156208299995 18.20837664800007, -73.87936961199995 18.208165079000082))"
